,fecha,ubicacion,cargo_hold
1,1923-05-14,France,Si
2,1928-05-07,Brazil,Si
3,1933-03-28,Belgium,Si
4,1937-07-28,Belgium,Si
5,1937-08-06,Romania,Si
6,1939-01-13,Montana,Si
7,1939-08-15,Denmark,Si
8,1944-04-21,Norway,Si
9,1945-09-07,South Carolina,Si
10,1946-06-01,Italy,Si
11,1946-07-11,Pennsylvania,Si
12,1947-10-24,United Air Lines,Si
13,1948-06-17,Pennsylvania,Si
14,1948-12-15,Colombia,Si
15,1949-08-02,Brazil,Si
16,1949-12-30,Pakistan,Si
17,1951-10-27,Guatemala,Si
18,1954-02-01,Japan,Si
19,1957-11-08,Pacific Ocean,Si
20,1958-09-02,Off Guam,Si
21,1959-03-01,Georgia,Si
22,1963-09-04,Switzerland,Si
23,1964-01-09,Argentina,Si
24,1964-07-09,Tennesee,Si
25,1967-06-27,Pennsylvania,Si
26,1968-09-11,France,Si
27,1969-07-26,Algeria,Si
28,1970-05-06,Somalia,Si
29,1971-12-24,Peru,Si
30,1972-08-14,East Germany,Si
31,1972-08-31,Russia,Si
32,1973-07-11,France,Si
33,1973-11-03,Massachusetts,Si
34,1979-11-26,Saudi Arabia,Si
35,1980-08-19,Saudi Arabia,Si
36,1980-09-15,Saudi Arabia,Si
37,1982-12-24,China,Si
38,1983-02-13,North Carolina,Si
39,1983-06-02,Kentucky,Si
40,1985-12-31,Texas,Si
41,1986-07-02,Russia,Si
42,1987-05-09,Poland,Si
43,1987-11-28,Indian Ocean,Si
44,1988-04-12,United Airways,Si
45,1990-01-13,Russia,Si
46,1991-07-11,Saudi Arabia,Si
47,1995-07-12,Papua New Guinea,Si
48,1996-05-11,Florida,Si
49,1997-04-15,Azerbaijan,Si
50,1997-06-06,Congo,Si
51,1998-09-02,Nova Scotia,Si
52,1999-08-21,Taiwan,Si
53,2000-07-25,France,Si
54,2001-01-21,Venezuela,Si
55,2001-03-03,Thai Airways,Si
56,2001-12-01,Russia,Si
57,2006-05-26,Russia,Si
58,2006-08-22,Ukraine,Si
59,2008-08-03,Vancouver Island,Si
60,2009-08-06,Congo,Si
61,2010-04-21,Philippines,Si
62,2010-09-03,United Arab Emirates,Si
63,2011-07-21,South Korea,Si
