,fecha,ubicacion,fuel_starvation
1,1935-05-18,Knowles Flying Service,Si
2,1935-12-31,Imperial Airways,Si
3,1937-07-02,New Guinea,Si
4,1938-11-29,Calif.,Si
5,1943-02-09,Newfoundland,Si
6,1946-12-28,Michigan,Si
7,1947-01-05,New Jersey,Si
8,1947-01-11,England,Si
9,1948-01-07,Georgia,Si
10,1948-01-30,Near Bermuda,Si
11,1949-08-15,Ireland,Si
12,1950-07-28,Brazil,Si
13,1952-04-30,India,Si
14,1952-05-26,Mauritania,Si
15,1954-06-19,England,Si
16,1954-12-22,Pennsylvania,Si
17,1970-05-02,Virgin Islands,Si
18,1970-12-05,India,Si
19,1972-02-01,Indonesia,Si
20,1973-07-24,HI,Si
21,1974-08-11,Upper Volta,Si
22,1977-10-20,Mississippi,Si
23,1977-12-02,Lebanon,Si
24,1978-12-28,Oregon,Si
25,1982-09-04,Brazil,Si
26,1983-07-23,Canada,Si
27,1989-09-03,Brazil,Si
28,1990-01-25,New York,Si
29,1990-09-11,Canada,Si
30,1991-06-26,Nigeria,Si
31,1993-11-15,Iran,Si
32,1994-09-18,Algeria,Si
33,1994-09-26,Russia,Si
34,1995-09-11,Afghanistan,Si
35,1995-10-31,Mexico,Si
36,1996-04-05,Russia,Si
37,1998-01-13,Pakistan,Si
38,2000-03-24,Sri Lanka,Si
39,2001-08-12,Azores,Si
40,2002-06-11,Manitoba,Si
41,2002-11-11,Philippines,Si
42,2004-08-13,Ohio,Si
43,2005-08-06,Italy,Si
44,2016-11-28,Columbia,Si
